Longitudinal Changes of Fixation Location and Stability Within 12 Months in Stargardt Disease: ProgStar Report No. 12.,"Schönbach EM, Strauss RW, Kong X, Muñoz B, Ibrahim MA, Sunness JS, Birch DG, Hahn GA, Nasser F, Zrenner E, Sadda SR, West SK, Scholl HPN; ProgStar Study Group.",To investigate the natural history of Stargardt disease (STGD1) using fixation location and fixation stability.
A non-retinoid antagonist of retinol-binding protein 4 rescues phenotype in a model of Stargardt disease without inhibiting the visual cycle.,"Racz B, Varadi A, Kong J, Allikmets R,, Pearson PG, Johnson G, Cioffi CL, Petrukhin K.","A primary pathological defect in the heritable eye disorder Stargardt disease is excessive accumulation of cytotoxic lipofuscin bisretinoids in the retina. Age-dependent accumulation of lipofuscin in the retinal pigment epithelium (RPE) matches the age-dependent increase in the incidence of the atrophic (dry) form of age-related macular degeneration (AMD) and therefore may be one of several pathogenic factors contributing to AMD progression. Lipofuscin bisretinoid synthesis in the retina depends on the influx of serum retinol from the circulation into the RPE. Formation of the tertiary retinol-binding protein 4 (RBP4)-transthyretin-retinol complex in the serum is required for this influx. Herein, we report the pharmacological effects of the non-retinoid RBP4 antagonist, BPN-14136. BPN-14136 dosing in the Abca4 mouse model of increased lipofuscinogenesis significantly reduced serum RBP4 levels and inhibited bisretinoid synthesis, and this inhibition correlated with a partial reduction in visual cycle retinoids such as retinaldehydes serving as bisretinoid precursors. BPN-14136 administration at doses inducing maximal serum RBP4 reduction did not produce changes in the rate of the visual cycle, consistent with minimal changes in dark adaptation. Abca4 mice exhibited dysregulation of the complement system in the retina, and BPN-14136 administration normalized the retinal levels of proinflammatory complement cascade components such as complement factors D and H, C-reactive protein, and C3. We conclude that BPN-14136 has several beneficial characteristics, combining inhibition of bisretinoid synthesis and reduction in retinaldehydes with normalization of the retinal complement system. BPN-14136, or a similar compound, may be a promising drug candidate to manage Stargardt disease and dry AMD."
Omega-3 Fatty Acids Supplementation: Therapeutic Potential in a Mouse Model of Stargardt Disease.,"Prokopiou E, Kolovos P, Kalogerou M, Neokleous A, Nicolaou O, Sokratous K,, Kyriacou K, Georgiou T.",To evaluate the therapeutic effects of omega-3 (ω3) fatty acids on retinal degeneration in the ABCA4 model of Stargardt disease when the blood level of arachidonic acid (AA)/eicosapentaenoic acid (EPA) ratio is between 1 and 1.5.
Mutation Spectrum of the ABCA4 Gene in a Greek Cohort with Stargardt Disease: Identification of Novel Mutations and Evidence of Three Prevalent Mutated Alleles.,"Smaragda K, Vassiliki K, George K, Polixeni S, Christoforos G, Anastasios A, Minas AI, Stavrenia K, Theoni P, Ioannis D, Miltiadis TK.",To evaluate the frequency and pattern of disease-associated mutations of ABCA4 gene among Greek patients with presumed Stargardt disease (STGD1).
Extremely hypomorphic and severe deep intronic variants in the ABCA4 locus result in varying Stargardt disease phenotypes.,"Zernant J, Lee W, Nagasaki T, Collison FT, Fishman GA, Bertelsen M, Rosenberg T, Gouras P, Tsang SH, Allikmets R.","Autosomal recessive Stargardt disease (STGD1, MIM 248200) is caused by mutations in the ABCA4 gene. Complete sequencing of the ABCA4 locus in STGD1 patients identifies two expected disease-causing alleles in ~75% of patients and only one mutation in ~15% of patients. Recently, many possibly pathogenic variants in deep intronic sequences of ABCA4 have been identified in the latter group. We extended our analyses of deep intronic ABCA4 variants and determined that one of these, c.4253+43G&gt;A (rs61754045), is present in 29/1155 (2.6%) of STGD1 patients. The variant is found at statistically significantly higher frequency in patients with only one pathogenic ABCA4 allele, 23/160 (14.38%), MAF=0.072, compared to MAF=0.013 in all STGD1 cases and MAF=0.006 in the matching general population (P&lt;1x10-7). The variant, which is not predicted to have any effect on splicing, is the first reported intronic ""extremely hypomorphic allele"" in the ABCA4 locus; i.e., it is pathogenic only when in trans with a loss-of-function ABCA4 allele. It results in a distinct clinical phenotype characterized by late-onset of symptoms and foveal sparing. In ~70% of cases the variant was allelic with the c.6006-609T&gt;A (rs575968112) variant, which was deemed non-pathogenic. Another rare deep intronic variant, c.5196+1056A&gt;G (rs886044749), found in 5/834 (0.6%) of STGD1 cases is, conversely, a severe allele. This study determines pathogenicity for three non-coding variants in STGD1 patients of European descent accounting for ~3% of the disease. Defining disease-associated alleles in the non-coding sequences of the ABCA4 locus can be accomplished by integrated clinical and genetic analyses."
Mutations in GPR143/OA1 and ABCA4 Inform Interpretations of Short-Wavelength and Near-Infrared Fundus Autofluorescence.,"Paavo M, Zhao J, Kim HJ, Lee W, Zernant J, Cai C, Allikmets R,, Tsang SH,, Sparrow JR,.",We sought to advance interpretations and quantification of short-wavelength fundus autofluorescence (SW-AF) emitted from bisretinoid lipofuscin and near-infrared autofluoresence (NIR-AF) originating from melanin.
Correlating the Expression and Functional Activity of ABCA4 Disease Variants With the Phenotype of Patients With Stargardt Disease.,"Garces F, Jiang K, Molday LL, Stöhr H, Weber BH, Lyons CJ, Maberley D, Molday RS,.","Stargardt disease (STGD1), the most common early-onset recessive macular degeneration, is caused by mutations in the gene encoding the ATP-binding cassette transporter ABCA4. Although extensive genetic studies have identified more than 1000 mutations that cause STGD1 and related ABCA4-associated diseases, few studies have investigated the extent to which mutations affect the biochemical properties of ABCA4. The purpose of this study was to correlate the expression and functional activities of missense mutations in ABCA4 identified in a cohort of Canadian patients with their clinical phenotype."
A novel small molecule chaperone of rod opsin and its potential therapy for retinal degeneration.,"Chen Y,,, Chen Y,, Jastrzebska B,, Golczak M,, Gulati S,, Tang H, Seibel W, Li X, Jin H, Han Y, Gao S, Zhang J, Liu X, Heidari-Torkabadi H, Stewart PL,, Harte WE, Tochtrop GP, Palczewski K,.","Rhodopsin homeostasis is tightly coupled to rod photoreceptor cell survival and vision. Mutations resulting in the misfolding of rhodopsin can lead to autosomal dominant retinitis pigmentosa (adRP), a progressive retinal degeneration that currently is untreatable. Using a cell-based high-throughput screen (HTS) to identify small molecules that can stabilize the P23H-opsin mutant, which causes most cases of adRP, we identified a novel pharmacological chaperone of rod photoreceptor opsin, YC-001. As a non-retinoid molecule, YC-001 demonstrates micromolar potency and efficacy greater than 9-cis-retinal with lower cytotoxicity. YC-001 binds to bovine rod opsin with an EC<sub>50</sub> similar to 9-cis-retinal. The chaperone activity of YC-001 is evidenced by its ability to rescue the transport of multiple rod opsin mutants in mammalian cells. YC-001 is also an inverse agonist that non-competitively antagonizes rod opsin signaling. Significantly, a single dose of YC-001 protects Abca4  Rdh8  mice from bright light-induced retinal degeneration, suggesting its broad therapeutic potential."
Novel variants identified with next-generation sequencing in Polish patients with cone-rod dystrophy.,"Wawrocka A, Skorczyk-Werner A, Wicher K, Niedziela Z,, Ploski R, Rydzanicz M, Sykulski M, Kociecki J, Weisschuh N, Kohl S, Biskup S, Wissinger B, Krawczynski MR,.","The aim of this study was to identify the molecular genetic basis of cone-rod dystrophy in 18 unrelated families of Polish origin. Cone-rod dystrophy is one of the inherited retinal dystrophies, which constitute a highly heterogeneous group of disorders characterized by progressive dysfunction of photoreceptors and retinal pigment epithelium (RPE) cells."
Retinal findings in a patient with mutations in ABCC6 and ABCA4.,"Mahroo OA,,, Fujinami K,,, Moore AT,,, Webster AR,.",Can't find  abstract!
